site,comparison,OTU,T1.lfc,T1.padj,T1.abundance,T2.lfc,T2.padj,T2.abundance,Phylum
ileon,EXP2_vs_TEM,Cluster_3,"-1,7094055957","0,0397183014","0,5498543978","-0,2818518812","0,6438268823","0,7118536747",Firmicutes
caecum,EXP1_vs_EXP2,Cluster_18,"-1,0250888478","0,971087972","0,017840069","-3,1519226762","0,0012456097","0,0272174464",Actinobacteria
caecum,EXP2_vs_TEM,Cluster_18,"-0,5633651774","0,9244582897","0,0265259347","3,0579544364","0,0019152049","0,0272174464",Actinobacteria
caecum,EXP2_vs_TEM,Cluster_3,"-0,0731326795","0,9244582897","0,4156139057","1,1000540632","0,0386767213","0,6175371248",Firmicutes
caecum,EXP2_vs_TEM,Cluster_12,"-1,2224546348","0,9244582897","0,0330783415","-4,3928578049","0,0023443251","0,0138400337",Fusobacteria
rectum,EXP1_vs_EXP2,Cluster_378,"1,9383007235","0,9623350064",0,"-9,4462896555","0,0436049646","0,0023688346",Tenericutes
rectum,EXP1_vs_TEM,Cluster_3,"-0,097225063","0,8734002357","0,459927981","-0,7187978842","0,0373256913","0,5933132758",Firmicutes
rectum,EXP1_vs_TEM,Cluster_12,"-1,8977279955","0,8734002357","0,0376455515","5,1152471729","0,0052647715","0,011656147",Fusobacteria
rectum,EXP1_vs_TEM,Cluster_2,"0,366406568","0,8734002357","0,0725349231","0,8996736909","0,0373256913","0,0757628521",Proteobacteria
rectum,EXP1_vs_TEM,Cluster_378,"2,1098565872","0,8734002357",0,"-10,5994847274","0,0074989427","0,0051466509",Tenericutes
rectum,EXP2_vs_TEM,Cluster_12,"-0,5983866455","0,9666880938","0,0376455515","6,9015754463","7,27116996485076E-05","0,0327081049",Fusobacteria
